N S D AD  T C
4 3 1 1 0,67  12  
16  4 3 2,2 1,1 192 
28  5 5 3,01  1,2 700 
40  5 7 3,66  1,46  1400  
52  5 7 4,08  1,63  1820  
64  5 9 4,75  1,9 2880  
76  5 9 5,04  2,02  3420  
88  5 9 5,23  2,09  3960  
100 5 10  5,65  2,26  5000  
112 5 11  6,01  2,4 6160  
124 5 11  6,21  2,49  6820  
136 5 11  6,51  2,6 7480  
148 5 11  6,7 2,68  8140  
160 5 11  6,88  2,75  8800  
172 5 13  7,23  2,89  11180 
184 5 13  7,47  2,99  11960 
196 5 13  7,65  3,06  12740 
208 5 13  7,81  3,12  13520 
220 5 13  7,95  3,18  14300 
232 5 13  8,05  3,22  15080 
244 5 13  8,16  3,26  15860 
256 5 13  8,25  3,3 16640 
268 5 13  8,32  3,33  17420 
280 5 14  8,53  3,41  19600 
292 5 14  8,69  3,47  20440 
304 5 14  8,81  3,52  21280 
316 5 15  8,98  3,59  23700 
328 5 15  9,12  3,65  24600 
340 5 15  9,23  3,69  25500 
352 5 15  9,34  3,74  26400 
364 5 15  9,42  3,77  27300 
376 5 15  9,5 3,8 28200 
388 5 15  9,63  3,85  29100 
400 5 15  9,74  3,9 30000 
412 5 15  9,83  3,93  30900
484 5 15  10,29 4,12  36300
604 5 17  11,19 4,48  51340
724 5 17  11,67 4,67  61540
844 5 18  12,12 4,85  75960
